text,label,clean_text,tokens,label_encoded
The app crashes every time I upload an image.,technical_issue,the app crashes every time i upload an image,"['app', 'crashes', 'time', 'upload', 'image']",4
I really love the new dashboard layout!,praise,i really love the new dashboard layout,"['love', 'new', 'dashboard', 'layout']",2
Please add dark mode to the app.,feature_request,please add dark mode to the app,"['add', 'dark', 'mode', 'app']",1
I'm very disappointed with your customer service.,complaint,im very disappointed with your customer service,"['m', 'disappointed', 'customer', 'service']",0
How do I change my subscription plan?,question,how do i change my subscription plan,"['change', 'subscription', 'plan']",3
The website is down again. What's happening?,technical_issue,the website is down again whats happening,"['website', 's', 'happening']",4
Great work on the latest update. Everything feels smooth.,praise,great work on the latest update everything feels smooth,"['great', 'work', 'latest', 'update', 'feels', 'smooth']",2
Can we get more payment options like PayPal?,feature_request,can we get more payment options like paypal,"['payment', 'options', 'like', 'paypal']",1
Your response time is terrible.,complaint,your response time is terrible,"['response', 'time', 'terrible']",0
I forgot my password. Can you help me reset it?,question,i forgot my password can you help me reset it,"['forgot', 'password', 'help', 'reset']",3
The search feature is broken. It returns no results.,technical_issue,the search feature is broken it returns no results,"['search', 'feature', 'broken', 'returns', 'results']",4
Fantastic job on the recent bug fixes.,praise,fantastic job on the recent bug fixes,"['fantastic', 'job', 'recent', 'bug', 'fixes']",2
I'd love to have a desktop version of this app.,feature_request,id love to have a desktop version of this app,"['d', 'love', 'desktop', 'version', 'app']",1
Why haven't I received a confirmation email yet?,complaint,why havent i received a confirmation email yet,"['nt', 'received', 'confirmation', 'email']",0
How do I unsubscribe from your newsletter?,question,how do i unsubscribe from your newsletter,"['unsubscribe', 'newsletter']",3
The mobile app won't open after the update.,technical_issue,the mobile app wont open after the update,"['mobile', 'app', 'wo', 'nt', 'open', 'update']",4
Thanks for the quick response. Much appreciated!,praise,thanks for the quick response much appreciated,"['thanks', 'quick', 'response', 'appreciated']",2
Please support integration with Google Drive.,feature_request,please support integration with google drive,"['support', 'integration', 'google', 'drive']",1
I'm still waiting for someone to reply to my ticket.,complaint,im still waiting for someone to reply to my ticket,"['m', 'waiting', 'reply', 'ticket']",0
What is your refund policy?,question,what is your refund policy,"['refund', 'policy']",3
My saved data is missing after logging back in.,technical_issue,my saved data is missing after logging back in,"['saved', 'data', 'missing', 'logging']",4
Best app I’ve used this year. Keep it up!,praise,best app ive used this year keep it up,"['best', 'app', 've', 'year']",2
Consider adding biometric login for extra security.,feature_request,consider adding biometric login for extra security,"['consider', 'adding', 'biometric', 'login', 'extra', 'security']",1
Your chatbot keeps giving irrelevant answers.,complaint,your chatbot keeps giving irrelevant answers,"['chatbot', 'keeps', 'giving', 'irrelevant', 'answers']",0
Where can I download the user manual?,question,where can i download the user manual,"['download', 'user', 'manual']",3
I get a 404 error on the help page.,technical_issue,i get a error on the help page,"['error', 'help', 'page']",4
The interface is so user-friendly. Well done!,praise,the interface is so userfriendly well done,"['interface', 'userfriendly']",2
It would be great to get daily email reports.,feature_request,it would be great to get daily email reports,"['great', 'daily', 'email', 'reports']",1
Unacceptable delays in your support team response.,complaint,unacceptable delays in your support team response,"['unacceptable', 'delays', 'support', 'team', 'response']",0
Do you offer a student discount?,question,do you offer a student discount,"['offer', 'student', 'discount']",3
The export to PDF option isn’t working properly.,technical_issue,the export to pdf option isnt working properly,"['export', 'pdf', 'option', 'nt', 'working', 'properly']",4
This is the most intuitive design I’ve seen.,praise,this is the most intuitive design ive seen,"['intuitive', 'design', 've', 'seen']",2
Can you provide a tutorial for beginners?,feature_request,can you provide a tutorial for beginners,"['provide', 'tutorial', 'beginners']",1
Nobody answers on the live chat support.,complaint,nobody answers on the live chat support,"['answers', 'live', 'chat', 'support']",0
How can I recover deleted items?,question,how can i recover deleted items,"['recover', 'deleted', 'items']",3
Sometimes the app freezes on the loading screen.,technical_issue,sometimes the app freezes on the loading screen,"['app', 'freezes', 'loading', 'screen']",4
Love the new analytics dashboard!,praise,love the new analytics dashboard,"['love', 'new', 'analytics', 'dashboard']",2
Please include multi-language support.,feature_request,please include multilanguage support,"['include', 'multilanguage', 'support']",1
The refund process is too slow.,complaint,the refund process is too slow,"['refund', 'process', 'slow']",0
What are the benefits of your premium plan?,question,what are the benefits of your premium plan,"['benefits', 'premium', 'plan']",3
My settings don't save after I log out.,technical_issue,my settings dont save after i log out,"['settings', 'nt', 'save', 'log']",4
Kudos to your team on the latest release!,praise,kudos to your team on the latest release,"['kudos', 'team', 'latest', 'release']",2
Add an option to customize notification sounds.,feature_request,add an option to customize notification sounds,"['add', 'option', 'customize', 'notification', 'sounds']",1
Not happy with how my issue was handled.,complaint,not happy with how my issue was handled,"['happy', 'issue', 'handled']",0
Can I change my registered email address?,question,can i change my registered email address,"['change', 'registered', 'email', 'address']",3
"Every time I try to save a report, the app shuts down.",technical_issue,every time i try to save a report the app shuts down,"['time', 'try', 'save', 'report', 'app', 'shuts']",4
I really appreciate the new feature rollout.,praise,i really appreciate the new feature rollout,"['appreciate', 'new', 'feature', 'rollout']",2
It would be helpful to schedule reports automatically.,feature_request,it would be helpful to schedule reports automatically,"['helpful', 'schedule', 'reports', 'automatically']",1
My account was locked for no reason.,complaint,my account was locked for no reason,"['account', 'locked', 'reason']",0
Is there a way to change my language settings?,question,is there a way to change my language settings,"['way', 'change', 'language', 'settings']",3
The billing page loads forever and never responds.,technical_issue,the billing page loads forever and never responds,"['billing', 'page', 'loads', 'forever', 'responds']",4
Kudos to the team for fixing bugs so fast!,praise,kudos to the team for fixing bugs so fast,"['kudos', 'team', 'fixing', 'bugs', 'fast']",2
Would be great to import contacts from my phone.,feature_request,would be great to import contacts from my phone,"['great', 'import', 'contacts', 'phone']",1
I was charged twice for the same subscription.,complaint,i was charged twice for the same subscription,"['charged', 'twice', 'subscription']",0
Where do I find my invoice history?,question,where do i find my invoice history,"['find', 'invoice', 'history']",3
The app randomly logs me out.,technical_issue,the app randomly logs me out,"['app', 'randomly', 'logs']",4
I'm impressed by how clean the UI is now.,praise,im impressed by how clean the ui is now,"['m', 'impressed', 'clean', 'ui']",2
Can you implement two-factor authentication?,feature_request,can you implement twofactor authentication,"['implement', 'twofactor', 'authentication']",1
I didn’t get any confirmation after payment.,complaint,i didnt get any confirmation after payment,"['nt', 'confirmation', 'payment']",0
What is the difference between Basic and Premium?,question,what is the difference between basic and premium,"['difference', 'basic', 'premium']",3
The reports are missing key metrics after export.,technical_issue,the reports are missing key metrics after export,"['reports', 'missing', 'key', 'metrics', 'export']",4
The onboarding process was very smooth!,praise,the onboarding process was very smooth,"['onboarding', 'process', 'smooth']",2
Would love a feature to sync with Apple Calendar.,feature_request,would love a feature to sync with apple calendar,"['love', 'feature', 'sync', 'apple', 'calendar']",1
Still waiting for someone to resolve my issue.,complaint,still waiting for someone to resolve my issue,"['waiting', 'resolve', 'issue']",0
How do I delete my account permanently?,question,how do i delete my account permanently,"['delete', 'account', 'permanently']",3
Why does the screen freeze on login?,technical_issue,why does the screen freeze on login,"['screen', 'freeze', 'login']",4
Thanks for listening to user suggestions!,praise,thanks for listening to user suggestions,"['thanks', 'listening', 'user', 'suggestions']",2
Please add keyboard shortcuts for navigation.,feature_request,please add keyboard shortcuts for navigation,"['add', 'keyboard', 'shortcuts', 'navigation']",1
My coupon code didn’t work during checkout.,complaint,my coupon code didnt work during checkout,"['coupon', 'code', 'nt', 'work', 'checkout']",0
Where can I edit my profile details?,question,where can i edit my profile details,"['edit', 'profile', 'details']",3
